danish,english,ukranian
Er der tegn på nyresygdomme hos dig?,Are there signs of kidney disease in you?,Чи є ознаки захворювання нирок у вас?
Har du oplevet symptomer eller ubehag relateret til dine nyrer?,Have you experienced symptoms or discomfort related to your kidneys?,"Чи ви відчували симптоми або дискомфорт, пов'язаний з вашими нирками?"
Er der historik med nyresygdomme i din familie?,Is there a family history of kidney disease in your family?,Чи є в історії вашої сім'ї випадки захворювання нирок?
Har du undersøgt dine nyrer for nylig?,Have you recently examined your kidneys?,Чи проводили ви останнім часом огляд нирок?
Har du haft nogen nyresygdomme?,Have you had any kidney diseases?,Чи маєте ви які-небудь захворювання нирок?
Har du fået foretaget nogen nyreprøver for nylig?,Have you had any recent kidney tests?,Чи були у вас недавні тести нирок?
Har du fået taget en blodprøve?,Have you had a blood test?,Чи вам коли-небудь робили загальний аналіз крові?
Har du haft nyreproblemer tidligere?,Have you had kidney problems before?,Чи мали ви проблеми з нирками раніше?
Har du haft nogen nylige nyreundersøgelser?,Have you had any recent kidney examinations?,Чи проводили вам недавні огляди нирок?
Har du haft symptomer på nyreproblemer?,Have you had symptoms of kidney problems?,Чи мали ви симптоми проблем з нирками?
Har du haft nyresygdomme eller nyreproblemer i fortiden?,Have you had kidney disease or kidney problems in the past?,Чи у вас коли-небудь була хвороба нирок чи проблеми з ними в минулому?
Er der nogen indikationer på nyresygdomme?,Are there any indications of kidney disease?,Чи є у вас які-небудь ознаки захворювання нирок?
Har du oplevet ændringer i din vandladning eller nyrefunktion?,Have you noticed changes in your urination or kidney function?,Чи помітили ви зміни в режимі сечовипускання чи функції нирок?
Har du fået undersøgt din nyrefunktion?,Have you had your kidney function examined?,Чи проходили ви огляд функції нирок?
Har du fået taget blodprøve?,Have you had a blood test?,Чи вам коли-небудь робили загальний аналіз крові?
Er du blevet testet med en blodprøve?,Have you been tested with a blood test?,Чи вам коли-небудь робили аналіз крові?
Har du været til en blodprøveundersøgelse?,Have you been to a blood test examination?,Чи проходили ви огляд на наявність патологій за допомогою загального аналізу крові?
Er der blevet taget blod fra dig?,Has blood been taken from you?,Чи брали вам кров для дослідження?
Har du fået taget blod?,Have you had blood taken?,Чи були вам взяті крові для аналізу?
Er du blevet prikket i fingeren eller armen til en blodprøve?,Have you been pricked in the finger or arm for a blood test?,Чи вам коли-небудь брали кров з пальця чи з руки для аналізу?
Har du været på laboratoriet for en blodprøve?,Have you been to the laboratory for a blood test?,Ви відвідували лабораторію для здачі аналізів крові?
Har du deltaget i en blodprøvetest?,Have you participated in a blood test?,Ви брали участь у крововому тесті?
Er der blevet foretaget en blodprøve på dig?,Has a blood test been conducted on you?,Чи проводили вам крововий аналіз?
Har du gennemgået en blodprøveprocedure?,Have you undergone a blood test procedure?,Чи ви проходили процедуру кровового тесту?
Er der blevet taget prøver af dit blod?,Has blood been taken from you?,Чи була з вас зібрана кров?
Har du været til en blodundersøgelse?,Have you been to a blood examination?,Чи ви проходили обстеження крові?
Er du blevet bedt om at få taget en blodprøve?,Have you been asked to have a blood test?,Чи вам рекомендували пройти аналіз крові?
Har du fået taget blod til analysering?,Have you had blood taken for analysis?,Чи вам була зібрана кров для аналізу?
Er du blevet testet ved hjælp af blodprøver?,Have you been tested using blood tests?,Чи ви проходили тестування з використанням крові?
Har du været til en blodprøvetagning?,Have you been to a blood test?,Ви відвідували аналіз крові?
Har du haft en blodafprøvning?,Have you had a blood test?,Чи ви раніше робили аналіз крові?
Er du blevet undersøgt med en blodprøve?,Have you been examined with a blood test?,Чи вам робили аналіз крові?
Har du fået foretaget en blodscreening?,Have you had a blood screening?,Чи ви проходили обстеження за допомогою крові?
Har du været til blodprøvetagning?,Have you been to a blood test?,Ви були на аналізі крові?
Har du diabetes?,Have you had diabetes?,Чи у вас є діабет?
Er du diabetiker?,Are you diabetic?,Ви є діабетиком?
Har du fået diagnosen diabetes?,Have you been diagnosed with diabetes?,Вам поставили діагноз діабету?
Har du sukkersyge?,Do you have diabetes?,Чи маєте ви діабет?
"Er der tegn på, at du har diabetes?",Are there signs that you have diabetes?,Чи є у вас ознаки діабету?
Har du oplevet symptomer på diabetes?,Have you experienced symptoms of diabetes?,Ви відчували симптоми діабету?
Har du diabetes eller prædiabetes?,Do you have diabetes or prediabetes?,Чи маєте ви діабет чи переддіабет?
Er du bekendt med symptomerne på diabetes?,Are you familiar with the symptoms of diabetes?,Ви знаєте симптоми діабету?
Har du nogen familiehistorie med diabetes?,Do you have any family history of diabetes?,Чи є у вас родинна спадковість діабету?
Har du haft nogen blodsukkerproblemer?,Have you had any blood sugar problems?,Чи ви мали проблеми з рівнем цукру в крові?
Er du i risikogruppen for diabetes?,Are you in the diabetes risk group?,Ви належите до групи ризику діабету?
Er der nogen bekymring for diabetes?,Is there any concern about diabetes?,Чи є побоювання стосовно діабету?
Har du været testet for diabetes?,Have you been tested for diabetes?,Чи ви проходили тестування на діабет?
Har du nogen risikofaktorer for diabetes?,Do you have any risk factors for diabetes?,Чи маєте ви які-небудь фактори ризику діабету?
Har du haft nogen diabetes relaterede komplikationer?,Have you had any diabetes-related complications?,"Ви мали ускладнення, пов'язані з діабетом?"
Har du haft problemer med at regulere dit blodsukker?,Have you had trouble regulating your blood sugar?,Чи мали ви проблеми з регулюванням рівня цукру в крові?
Er der nogen tegn på diabetes hos dig?,Are there any signs of diabetes in you?,Чи є у вас ознаки діабету?
Har du erklæret diabetes?,Have you declared diabetes?,Ви декларували про наявність діабету?
Har du bemærket ændringer i din krop vedr. dit blodsukker?,Have you noticed changes in your body regarding your blood sugar?,Чи помітили ви зміни в організмі щодо рівня цукру в крові?
Har du haft nogen tidligere problemer med dit blodsukker?,Have you had any previous problems with your blood sugar?,Чи мали ви раніше проблеми з рівнем цукру в крові?
Har du nogen sygdomme relateret til dit blodsukker?,Do you have any diseases related to your blood sugar?,"Чи у вас є хвороби, пов'язані з рівнем цукру в крові?"
Oplever du hyppig vandladning?,Do you experience frequent urination?,Чи ви відчуваєте часте сечовиділення?
"Har du haft nyreproblemer, som har givet dig hyppig vandladning?",Have you had kidney problems that caused frequent urination?,"Чи мали ви проблеми з нирками, які призводили до частого сечовиділення?"
Har du haft nogen uforklarlig vægttab?,Have you had any unexplained weight loss?,Чи мали ви непояснене схуднення?
Har du oplevet hyppig træthed eller udmattelse?,Have you experienced frequent fatigue or exhaustion?,Чи відчували ви часту втомленість або виснаженість?
Har du oplevet hyppige infektioner?,Have you experienced frequent infections?,Чи ви мали часті інфекції?
Har du haft svært ved at hele sår eller skrammer?,Have you had difficulty healing wounds or scratches?,Чи у вас були проблеми з загоєнням порізів або подряпин?
Har du oplevet nogen form prikken i dine kropsdele?,Have you experienced any form of tingling in your body parts?,Чи ви відчували будь-які поколювання у частинах вашого тіла?
Har du oplevet nogen form for snurren eller anden følelsesløshed i dine tær eller fingre?,Have you experienced any tingling or numbness in your toes or fingers?,Чи ви відчували поколювання або оніміння у пальцях ніг або рук?
Har du oplevet hyppige kramper i dine muskler?,Have you experienced frequent muscle cramps?,Чи часто ви відчували судоми?
Har du haft nogen ændringer i din appetit eller spisevaner?,Have you had any changes in your appetite or eating habits?,Чи відбувалися у вас зміни в апетиті або їдальних звичках?
Har du oplevet hyppige hovedpiner eller migræner?,Have you experienced frequent headaches or migraines?,Чи ви часто мали головні болі або мігрені?
Har du bemærket ændringer i din hud?,Have you noticed changes in your skin?,Чи помітили ви зміни на вашій шкірі?
Har du oplevet hyppige perioder med kvalme eller opkastning?,Have you experienced frequent periods of nausea or vomiting?,Чи ви часто відчували періодичну нудоту або блювання?
Har du haft hyppige følelsesmæssige humørsvingninger?,Have you had frequent emotional mood swings?,Чи ви мали часті емоційні коливання?
Har du oplevet hyppigere urinvejsinfektioner?,Have you experienced more frequent urinary tract infections?,Чи ви відчували більш часті випадки інфекцій сечових шляхів?
Har du bemærket ændringer med dit syn det seneste stykke tid?,Have you noticed changes in your vision recently?,Чи помітили ви зміни в вашому зорі недавно?
Har du haft øget tørst og væskeindtag?,Have you had increased thirst and fluid intake?,Чи помітили ви збільшену спрагу та рівень споживання рідини?
"Har du oplevet hyppigere ture til toilettet, især om natten?","Have you experienced more frequent trips to the bathroom, especially at night?","Чи ви відчували більш часті походження до ванної кімнати, особливо вночі?"
Har du bemærket ændringer i din hukommelse eller koncentrationsevne?,Have you noticed changes in your memory or concentration?,Чи помітили ви зміни в вашій пам'яті або концентрації?
Har du haft hyppigere problemer med nedsat immunforsvar?,Have you had more frequent problems with weakened immunity?,Чи ви мали більш часті проблеми зі зниженням імунітету?
Har du bemærket ændringer i dine blodsukkerniveauer?,Have you noticed changes in your blood sugar levels?,Чи помітили ви зміни в рівні цукру в крові?
Har du oplevet hyppigere perioder med svimmelhed eller besvimelse?,Have you experienced more frequent periods of dizziness or fainting?,Чи ви відчували більш часті випадки головокружливості або обмороження?
Har du haft ændringer i din puls eller blodtryk?,Have you had changes in your pulse or blood pressure?,Чи були у вас зміни у пульсі чи кров'яному тиску?
Har du bemærket ændringer i din vejrtrækning eller åndenød?,Have you noticed changes in your breathing or shortness of breath?,Чи помітили ви зміни у вашому диханні або відчутті повітряного голоду?
Har du oplevet hyppigere perioder med svaghed eller nedsat energi?,Have you experienced more frequent periods of weakness or decreased energy?,Чи ви відчували більш часті випадки слабкості або зниженого рівня енергії?
Har du sukkersyge?,Do you have diabetes?,Чи є у вас діабет?
Er der noget med dit blodsukker?,Is there anything with your blood sugar?,Чи є щось з вашим рівнем цукру в крові?
Har du oplevet udfordringer med sukkerbalancen?,Have you experienced challenges with sugar balance?,Чи ви відчували складнощі з балансом цукру?
Er der tegn på ubalance i dit sukker?,Are there signs of sugar imbalance in your body?,Чи є ознаки нерівноваги цукру в організмі?
Har du bemærket ændringer i din energi på grund af sukker?,Have you noticed changes in your energy due to sugar?,Чи помітили ви зміни в вашому рівні енергії через цукор?
Har du erfaring med blodsukkerproblemer?,Do you have experience with blood sugar problems?,Чи маєте ви досвід з проблемами з рівнем цукру в крові?
Har du brug for at være opmærksom på dit blodsukkerniveau?,Do you need to be mindful of your blood sugar level?,Чи вам потрібно бути уважними до вашого рівня цукру в крові?
Er du tegn på blodsukkerubalance i din krop?,Are there signs of blood sugar imbalance in your body?,Чи є ознаки нерівноваги цукру в організмі?
Er dit blodsukker ustabilt?,Is your blood sugar unstable?,Чи є ваш рівень цукру в крові непостійним?
Er dit blodsukker udfordret?,Is your blood sugar challenged?,Чи ваш рівень цукру в крові викликає проблеми?
Har du oplevet blodsukker problemer?,Have you experienced blood sugar problems?,Чи мали ви проблеми з рівнем цукру в крові?
Har du brug for at holde styr på dit blodsukker?,Do you need to keep track of your blood sugar?,Чи вам потрібно вести облік вашого рівня цукру в крові?
Er du opmærksom på blodsukkeret i din krop?,Are you aware of the blood sugar in your body?,"Чи ви знаєте, який рівень цукру в крові у вас?"
Er dit blodsukker påvirket?,Is your blood sugar affected?,Чи впливає ваш рівень цукру в крові?
Har du erfaring med sukkersvingninger?,Do you have experience with sugar fluctuations?,Чи маєте ви досвід з флуктуаціями цукру?
Er dit blodsukker en udfordring for dig?,Is your blood sugar a challenge for you?,Чи є ваш рівень цукру викликом для вас?
Er der noget med dit blodsukker?,Is there anything with your blood sugar?,Чи є щось з вашим рівнем цукру в крові?
Er dit blodsukker i ubalance?,Is your blood sugar imbalanced?,Чи ваш рівень цукру в крові нерівноважним?
Er dit blodsukker et problem?,Is your blood sugar a problem?,Чи ваш рівень цукру в крові проблемою?
Har du brug for at kontrollere dit blodsukker?,Do you need to control your blood sugar?,Чи вам потрібно контролювати свій рівень цукру в крові?
Er du særlig opmærksom på dit blodsukker?,Are you particularly mindful of your blood sugar?,Чи ви особливо уважні до рівня цукру в крові?
Er der noget med blodsukker i din krop?,Is there anything with blood sugar in your body?,Чи є у вас проблеми з рівнем цукру в крові?
Har du haft problemer med blodsukker?,Have you had blood sugar problems?,Чи ви вже мали проблеми з рівнем цукру в крові?
Har du oplevet symptomer med dit blodsukker?,Have you experienced symptoms with your blood sugar?,"Чи ви відчували симптоми, пов'язані з рівнем цукру в крові?"
Er du i risiko for blodsukker problemer?,Are you at risk for blood sugar problems?,Чи ви знаходитеся в групі ризику щодо проблем з рівнем цукру в крові?
Skal du jævnlig overvåge dit blodsukker??,Do you need to regularly monitor your blood sugar?,Чи вам потрібно регулярно моніторити рівень цукру в крові?
Har du behov for at regulere dit blodsukker?,Do you need to regulate your blood sugar?,Чи вам потрібно регулювати рівень цукру в крові?
Er dit blodsukker i kontrol?,Is your blood sugar under control?,Чи ви контролюєте свій рівень цукру в крові?
Er dit blodsukker et fokus for dig?,Is your blood sugar a focus for you?,Чи є рівень цукру в крові для вас головним увагуваним аспектом?
Har du brug for at holde øje med dit sukkerindtag?,Do you need to keep an eye on your sugar intake?,Чи вам потрібно стежити за споживанням цукру?
"Er dit blodsukker noget, du tænker over?",Is your blood sugar something you think about?,Чи ви думаєте про свій рівень цукру в крові?
"Er dit blodsukker noget, du holder øje med?",Is your blood sugar something you monitor?,Чи моніторите ви свій рівень цукру в крові?
"Er blodsukker noget, du skal tage højde for?",Is blood sugar something you need to consider?,Чи ви враховуєте рівень цукру в крові?
Har blodsukker en indflydelse på din daglige rutine?,Does blood sugar influence your daily routine?,Чи впливає рівень цукру в крові на вашу щоденну рутину?
Tager du nogen form for medicin?,Are you taking any form of medication?,Чи ви приймаєте будь-які медикаменти?
Er du på medicin?,Are you on medication?,Чи ви приймаєте медикаменти?
Bruger du medicin?,Are you using medication?,Чи ви вживаєте медикаменти?
Tager du nogen form for medicin?,Are you taking any form of medication?,Чи ви приймаєте які-небудь медикаменти?
Får du receptpligtig medicin?,Are you receiving prescription medication?,Чи ви отримуєте рецептурні медикаменти?
Indtager du lægemidler?,Are you taking medications?,Чи ви вживаєте медикаменти?
"Har du medicin, du tager regelmæssigt?",Do you have medication you take regularly?,Чи ви приймаєте медикаменти регулярно?
Modtager du nogen former for medicinering?,Are you receiving any forms of medication?,Чи ви отримуєте будь-які форми медикаментів?
Er du på nogen form for medicinsk behandling?,Are you undergoing any form of medical treatment?,Чи ви перебуваєте під медичним лікуванням?
Anvender du medicin dagligt?,Do you use medication daily?,Чи ви вживаєте медикаменти щоденно?
Er du under medicinsk behandling?,Are you under medical treatment?,Чи ви перебуваєте під медичним лікуванням?
Tager du nogen slags piller?,Are you taking any kind of pills?,Чи ви приймаєте будь-які форми таблеток?
Får du recepter fra lægen?,Are you receiving prescriptions from the doctor?,Чи ви отримуєте рецепти від лікаря?
Har du nogen medicinske recepter?,Do you have any medical prescriptions?,Чи у вас є будь-які медичні рецепти?
Tager du nogen form for lægemidler regelmæssigt?,Are you taking any form of medication regularly?,Чи ви приймаєте будь-які медикаменти регулярно?
Har du nogen medicinske præparater?,Do you have any medical preparations?,Чи у вас є які-небудь медичні призначення?
Bruger du medicin til at håndtere en tilstand?,Are you using medication to manage a condition?,Чи ви вживаєте медикаменти для керування станом?
Får du nogen former for medicin fra apoteket?,Are you receiving any forms of medication from the pharmacy?,Чи ви отримуєте будь-які форми медикаментів від аптеки?
Er du i øjeblikket på nogen medicin?,Are you currently on any medication?,Чи ви зараз приймаєте будь-які медикаменти?
Tager du nogen form for medicin for øjeblikket?,Are you taking any form of medication currently?,Чи ви зараз приймаєте будь-які медикаменти?
Har du nogen receptpligtige lægemidler?,Do you have any prescription medications?,Чи у вас є які-небудь рецептурні медикаменти?
Bruger du nogen former for medicin?,Are you using any forms of medication?,Чи ви вживаєте будь-які форми медикаментів?
Er du på nogen form for medicin?,Are you on any form of medication?,Чи ви приймаєте які-небудь медикаменти?
Modtager du medicinsk behandling?,Are you receiving medical treatment?,Чи ви перебуваєте під медичним лікуванням?
Tager du medicin som en del af din daglige rutine?,Do you take medication as part of your daily routine?,Чи ви приймаєте медикаменти як частину щоденної рутини?
Har du brug for medicin dagligt?,Do you need medication daily?,Чи вам потрібні медикаменти щоденно?
Tager du medicin som en del af en behandlingsplan?,Do you take medication as part of a treatment plan?,Чи ви приймаєте медикаменти як частину плану лікування?
Er du på nogen form for medicin på daglig basis?,Are you on any form of medication on a daily basis?,Чи ви приймаєте будь-які форми медикаментів щоденно?
Modtager du medicin for at forbedre din sundhedstilstand?,Are you receiving medication to improve your health condition?,Чи ви отримуєте медикаменти для поліпшення вашого стану здоров'я?
Tager du medicin som en del af din daglige rutine?,Do you take medication as part of your daily routine?,Чи ви приймаєте медикаменти як частину щоденної рутини?
Har du nogensinde prøvet at få røntgen kontraststof?,Have you ever tried getting contrast dye for X-rays?,Чи коли-небудь ви пробували отримати контрастний розчин для рентгенів?
Har du nogensinde prøvet at få sprøjtet jod kontrast ind i en blodåre?,Have you ever tried getting injected with iodine contrast into a vein?,Чи ви коли-небудь намагалися вводити венозний контраст йодом?
Har du prøvet at få jod indeholdende kontrast før?,Have you tried getting iodine-containing contrast before?,"Чи ви коли-небудь намагалися отримати контрастний розчин, що містить йод?"
Har du prøvet at få røntgen kontrast indsprøjtet i en blodåre før=,Have you tried getting X-ray contrast injected into a vein before?,Чи коли-небудь ви намагалися вводити контрастний розчин для рентгенів у вену?
Har du nogensinde fået noget sprøjtet ind i en blodåre på en røntgenafdeling?,Have you ever had something injected into a vein at a radiology department?,Чи коли-небудь щось вам вводили в вену в відділенні рентгенів?
Er du blevet givet røntgenkontrast før?,Have you been given X-ray contrast before?,Чи вам коли-небудь надавали контраст для рентгенів?
Skete der noget sidste gang du fik kontrast?,Did anything happen last time you got contrast?,Чи трапилася щось під час останнього введення контрастного розчину?
Skete der noget sidst du fik sprøjtet kontrast ind?,Did anything happen the last time you got contrast injected?,Чи трапилася щось під час останнього введення контрасту вам у жилу?
Er du blevet givet nogen form for medicin på en røntgenafdeling før?,Have you been given any form of medication at a radiology department before?,Чи вам коли-небудь надавали будь-яку форму медикаментів у відділенні радіології раніше?
Har du prøvet at få røntgen kontraststof?,Have you tried getting X-ray contrast dye?,Чи вам коли-небудь намагалися вводити контраст для рентгенів?
Har du nogensinde prøvet at få sprøjtet jod kontrast ind i en blodåre?,Have you ever tried getting injected with iodine contrast into a vein?,Чи коли-небудь ви намагалися вводити венозний контраст йодом?
Har du prøvet at få jod indeholdende kontrast før?,Have you tried getting iodine-containing contrast before?,"Чи вам коли-небудь намагалися вводити контраст, що містить йод?"
Har du prøvet at få røntgen kontrast indsprøjtet i en blodåre før?,Have you tried getting X-ray contrast injected into a vein before?,Чи коли-небудь ви намагалися вводити контраст для рентгенів у вену?
Har du nogensinde fået noget sprøjtet ind i en blodåre på en røntgenafdeling?,Have you ever had something injected into a vein at a radiology department?,Чи коли-небудь щось вам вводили в вену в відділенні радіології?
Er du blevet givet røntgenkontrast før?,Have you been given X-ray contrast before?,Чи вам коли-небудь надавали контраст для рентгенів?
Skete der noget sidste gang du fik kontrast?,Did anything happen last time you got contrast?,Чи трапилася щось під час останнього введення контрасту?
Skete der noget sidst du fik sprøjtet kontrast ind?,Did anything happen last time you got contrast injected?,Чи трапилася щось під час останнього введення контрасту вам у жилу?
Er du blevet givet nogen form for medicin på en røntgenafdeling før?,Have you been given any form of medication at a radiology department before?,Чи вам коли-небудь надавали будь-яку форму медикаментів у відділенні радіології раніше?
Har du erfaring med at modtage røntgenkontraststof?,Do you have experience receiving X-ray contrast?,Чи ви маєте досвід отримання контрасту для рентгенів?
Har du nogensinde haft jodkontrast injiceret i dine årer?,Have you ever had iodine contrast injected in your veins?,Чи вам коли-небудь вводили контраст йодом у вени?
"Er du bekendt med at få kontraststof, der indeholder jod?",Are you familiar with receiving contrast containing iodine?,"Чи ви знайомі з отриманням контрасту, що містить йод?"
Har du fået røntgenkontrast indsprøjtet tidligere?,Have you received X-ray contrast injected before?,Чи вам коли-небудь вводили контраст для рентгенів у вену раніше?
Har du prøvet at få noget injiceret i dine årer under en røntgenundersøgelse?,Have you ever had anything injected into your veins during an X-ray procedure?,Чи коли-небудь вам вводили щось у вену під час рентгенів?
Har du tidligere modtaget røntgenkontrast?,Have you previously received X-ray contrast?,Чи ви раніше отримували контраст для рентгенів?
"Oplevede du noget specielt, da du fik kontrast sidst?",Did you experience anything specific when you last received contrast?,Чи ви відчували щось під час останнього введення контрасту?
"Hvordan var din oplevelse, da du fik kontrasten sidste gang?",How was your experience when you last received contrast?,"Як ви відчували себе останній раз, коли отримували контраст?"
Har du fået nogen medicin under en røntgenprocedure før?,Have you been given any medication during an X-ray procedure before?,Чи вам коли-небудь надавали будь-які медикаменти під час процедури рентгенування раніше?
Har du prøvet at få kontrast injiceret tidligere?,Have you tried getting contrast injected before?,Чи ви намагалися отримати контраст у вену раніше?
Har du nogensinde fået kontraststof før?,Have you ever received contrast before?,Чи ви коли-небудь отримували контраст раніше?
Er du vant til at få kontrast injiceret i dine årer?,Are you used to getting contrast injected into your veins?,Чи звикли ви отримувати контраст у вени?
Har du modtaget kontrast under en røntgenprocedure før?,Have you received contrast during an X-ray procedure before?,Чи ви отримували контраст під час рентгенів раніше?
"Hvordan føltes det, da du sidst fik kontrast indsprøjtet?",How did it feel when you last got contrast injected?,"Як ви почували себе, коли останній раз отримували контраст у вену?"
"Var der nogen specifikke bivirkninger, da du fik kontrast sidste gang?",Were there any specific side effects when you last received contrast?,Чи були які-небудь конкретні побічні ефекти під час останнього введення контрасту?
Har du erfaring med at modtage medicin på en røntgenafdeling?,Do you have experience receiving medication at a radiology department?,Чи маєте ви досвід отримання медикаментів у відділенні радіології?
Har du prøvet at få kontraststof i en blodåre før?,Have you tried getting contrast injected into a vein before?,Чи ви намагалися отримати контраст у вену раніше?
Har du fået injiceret kontraststof tidligere?,Have you received contrast injected before?,Чи отримували ви контраст раніше?
Hvordan var din oplevelse med kontrasten sidst?,How was your experience with the contrast last time?,"Як ви відчули себе в останній раз, коли отримували контраст?"
Har du nogensinde oplevet at få kontraststof under en røntgenundersøgelse?,Have you ever experienced getting contrast during an X-ray examination?,Чи коли-небудь ви отримували контраст під час рентгенів?
Har du fået medicin under en røntgenprocedure tidligere?,Have you received medication during an X-ray procedure before?,Чи отримували ви медикаменти під час процедури рентгенування раніше?
Hvordan var det at få kontraststof injiceret sidste gang?,How was it to get contrast injected last time?,"Як вам було в останній раз, коли вам вводили контраст у вену?"
Har du tidligere fået kontrast i dine årer?,Have you previously received contrast in your veins?,Чи коли-небудь вам вводили контраст у вени раніше?
Har du haft kontraststof under en røntgenafdelingsbesøg før?,Have you had contrast during a visit to the radiology department before?,Чи були у вас які-небудь реакції на контраст раніше?
Har du oplevet nogen form for reaktion på kontraststof tidligere?,Have you experienced any reactions to contrast before?,Чи вводили вам щось у вену під час рентгенів раніше?
Har du fået noget injiceret under en røntgenundersøgelse før?,Have you had anything injected during an X-ray examination before?,Чи отримували ви контраст у вену раніше?
Har du modtaget røntgenkontrast i en blodåre før?,Have you received X-ray contrast in a vein before?,Як ви відреагували в останній раз на контраст?
Hvordan reagerede du sidst på kontraststof?,How did you react last time to contrast?,Чи коли-небудь вам вводили щось у вену в відділенні радіології раніше?
Har du fået noget injiceret i dine årer på en røntgenafdeling før?,Have you had anything injected into your veins at a radiology department before?,Чи ви пробували контраст раніше?
Har du prøvet kontraststof tidligere?,Have you tried contrast before?,Чи отримували ви контраст у вашому тілі раніше?
Har du fået kontraststof i din krop før?,Have you received contrast in your body before?,Чи отримували ви контраст під час рентгенів раніше?
Har du tidligere modtaget kontraststof under røntgenundersøgelser?,Have you previously received contrast during X-ray examinations?,Чи маєте ви досвід з контрастом раніше?
Har du haft erfaring med kontraststof tidligere?,Do you have experience with contrast before?,Чи коли-небудь ви отримували контраст у вашому кровообігу раніше?
Har du nogensinde fået kontrast i din blodbane før?,Have you ever had contrast in your bloodstream before?,Чи отримували ви контраст введений у вену раніше?
Har du fået kontrast injiceret tidligere?,Have you received contrast injected before?,Чи намагалися ви коли-небудь отримати контраст у вену раніше?
Har du prøvet at få kontrast ind i en blodåre før?,Have you tried getting contrast into a vein before?,Чи ви відчували які-небудь побі
Har du oplevet nogen bivirkninger ved kontrast tidligere?,Have you experienced any side effects from contrast before?,чні ефекти від контрасту раніше?
Har du modtaget kontraststof i din krop før?,Have you received contrast in your body before?,Чи отримували ви контраст у вашому тілі раніше?
Har du oplevet noget specielt ved at få kontrast indsprøjtet?,Have you experienced anything specific when getting contrast injected?,Чи ви відчували щось конкретне під час введення контрасту?
Har du prøvet kontrast under en røntgenprocedure før?,Have you tried contrast during an X-ray procedure before?,Чи намагалися ви контраст під час рентгенів раніше?
Har du fået kontrast injiceret i dine årer tidligere?,Have you received contrast injected into your veins before?,Чи вам коли-небудь вводили контраст у вени раніше?
Har du erfaring med kontraststof under røntgenundersøgelser?,Do you have experience with contrast during X-ray examinations?,Чи маєте ви досвід з контрастом під час рентгенів раніше?
Har du oplevet reaktioner på kontrast tidligere?,Have you experienced reactions to contrast before?,Чи ви вже відчували реакції на контраст раніше?
Har du tidligere fået kontrast ind i din blodbane?,Have you previously had contrast in your bloodstream?,Чи вам раніше вже вводили контраст у кровообіг?
Har du fået kontrast under røntgenundersøgelser før?,Have you had contrast during X-ray examinations before?,Чи вам раніше вже вводили контраст під час рентгенів?
Har du nogensinde modtaget kontraststof i din krop?,Have you ever received contrast in your body?,Чи вам коли-небудь надавали контраст у вашому тілі?
Har du prøvet kontraststof i dine årer før?,Have you tried contrast in your veins before?,Чи ви пробували контраст у венах раніше?
Har du haft kontrast injiceret under røntgenundersøgelser før?,Have you had contrast injected during X-ray examinations before?,Чи вам раніше вже вводили контраст під час рентгенів?
Har du tidligere fået kontraststof under røntgenafdelingsbesøg?,Have you previously received contrast during visits to the radiology department?,Чи ви раніше отримували контраст під час відвідувань відділення радіології?
Har du nogen form for astma?,Do you have any asthma?,Чи ви маєте астму?
Har du problemer med at komme af med bakterierne i dine lunger?,Do you have trouble clearing bacteria from your lungs?,Чи маєте ви проблеми з очищенням бактерій з легенів?
Tager du nogen form for lungemedicin?,Are you taking any lung medication?,Чи приймаєте ви будь-які ліки для легенів?
Har du tidligere haft astma?,Have you had asthma before?,Чи ви коли-небудь мали астму раніше?
Har du astma?,Do you have asthma?,Чи маєте ви астму?
Er der nogen chance for du har astma?,Is there a chance you have asthma?,"Чи є шанс, що у вас астма?"
Er der risiko for du har astma?,Is there a risk you have asthma?,"Чи є ризик, що у вас астма?"
Har du prøvet at have’ astma før?,Have you experienced asthma before?,Чи ви коли-небудь відчували астму раніше?
Har du problemer med astma?,Do you have asthma problems?,Чи маєте ви проблеми з астмою?
Har du nogen lungeproblemer ift. hoste eller anden du tager medicin for,Do you have any lung problems like coughing or others you take medication for?,"Чи маєте ви будь-які проблеми з легенями, такі як кашель або інші, на які ви приймаєте ліки?"
Tager du lungemedicin?,Are you taking lung medication?,Чи приймаєте ви ліки для легенів?
Har du nogen former for astma?,Do you have any forms of asthma?,Чи є у вас будь-які форми астми?
Oplever du vanskeligheder med at fjerne bakterierne fra dine lunger?,Do you experience difficulty clearing bacteria from your lungs?,Чи вам складно очищувати бактерії з легенів?
Indtager du medicin til behandling af dine lunger?,Are you taking medication for your lungs?,Чи приймаєте ви ліки для легенів?
Har du tidligere lidt af astma?,Have you had asthma before?,Чи ви мали астму раніше?
Er astma en del af dine helbredsmæssige udfordringer?,Is asthma part of your health challenges?,Чи астма є частиною ваших проблем зі здоров'ям?
"Er der en mulighed for, at du lider af astma?",Is there a possibility you have asthma?,"Чи є можливість, що у вас астма?"
"Er der en risiko for, at du har astma?",Is there a risk you have asthma?,"Чи є ризик, що у вас астма?"
Har du erfaring med at have astma?,Do you have experience having asthma?,Чи маєте ви досвід з астмою?
Oplever du problemer i forbindelse med astma?,Do you experience problems with asthma?,Чи ви маєте проблеми з астмою?
"Har du nogle lungeproblemer, såsom hoste, der kræver medicin?",Do you have any lung problems that require medication?,"Чи є у вас будь-які проблеми з легенями, які потребують лікування?"
