danish,english,ukrainian
Har du bemærket ændringer i vandladning eller nyrefunktion?,Have you noticed changes in urination or kidney function ?,Чи помічали ви зміни в сечовипусканні або роботі нирок?
Fik du undersøgt din nyrefunktion?,you had your kidney function examined ?,Чи проходили ви обстеження функції нирок?
Har du fået taget en blodprøve?,Have you had blood test ?,Чи робили ви аналіз крові?
Er du blevet testet en blodprøve?,Have you been tested a blood test ?,Чи вам коли-небудь робили аналіз крові?
Har du taget en blodprøve?,Have you to a blood test examination ?,Чи проходили ви обстеження крові на аналіз?
Har blod taget fra dig?,Has blood taken from you ?,Чи брали у вас кров?
Fik du taget blod?,you had blood taken ?,У вас брали кров?
Er du blevet prikket i fingeren eller armen en blodprøve?,Have you been pricked in the finger or arm a blood test ?,Вам кололи палець або руку для аналізу крові?
Har du været i laboratoriet til en blodprøve?,Have you been to laboratory for a blood test ?,Чи були ви в лабораторії для аналізу крові?
Har du deltaget i en blodprøve?,Have participated in a blood test ?,Ви брали участь в аналізі крові?
Er der foretaget en blodprøve på dig?,a blood test been conducted on you ?,Чи проводили вам аналіз крові?
Har De gennemgået en blodprøve?,Have undergone a blood test procedure ?,Чи проходили ви процедуру аналізу крові?
Er der taget blod fra?,Has blood been taken from ?,Чи брали у вас кров?
Har du været en blodprøve?,Have you been a blood examination ?,Чи були ви на обстеженні крові?
Blev du bedt om en blodprøve?,you been asked to have a blood test ?,Вам призначали аналіз крові?
Har du taget blod til analyse?,Have you blood taken for analysis ?,Чи брали у вас кров на аналіз?
Er du blevet testet ved hjælp af blodprøver?,you been tested using blood tests ?,Чи обстежувалися ви за допомогою аналізу крові?
Har du taget en blodprøve?,Have you to a blood test ?,Ви були на аналізі крові?
Havde du en blodprøve?,you had a blood test ?,Ви здавали аналіз крові?
Er du blevet undersøgt med en blodprøve?,you been examined with a blood test ?,Ви проходили обстеження з аналізом крові?
Havde du en blodscreening?,you had a blood screening ?,Ви робили скринінг крові?
Har du været til blodprøve?,Have you been to blood test ?,Ви були на аналізі крові?
Har du haft diabetes?,Have had diabetes ?,У вас був діабет?
Er du diabetiker?,you diabetic ?,Ви хворієте на діабет?
er du blevet diagnosticeret med diabetes?,you been diagnosed with diabetes ?,Чи був у вас діагноз цукровий діабет?
Har du sukkersyge?,Do you diabetes ?,Ви хворієте на діабет?
"er der tegn på, at du har diabetes?",there signs that you have diabetes ?,Чи є у вас ознаки діабету?
Har du oplevet symptomer diabetes?,Have you experienced symptoms diabetes ?,Чи відчували ви симптоми діабету?
Har du diabetes eller prediabetes?,you have diabetes or prediabetes ?,У вас є діабет або переддіабет?
Kender du symptomerne på diabetes?,you familiar with the symptoms of diabetes ?,Чи відомі вам симптоми діабету?
Har nogen familie historie diabetes?,Do have any family history of diabetes ?,Чи є у вашій родині хворі на діабет?
Har du haft blodsukkerproblemer?,Have you had blood sugar problems ?,Чи були у вас проблеми з рівнем цукру в крові?
Er du diabetesrisikogruppen?,Are you the diabetes risk group ?,Чи належите ви до групи ризику діабету?
Formanden. - Næste punkt på dagsordenen er betænkning (dok.,there any concern about diabetes ?,Чи є у вас занепокоєння щодо діабету?
Er det blevet testet for diabetes?,Have been tested for diabetes ?,Чи проходили ви обстеження на діабет?
Har du risikofaktorer for diabetes?,Do you have risk factors for diabetes ?,Чи є у вас будь-які фактори ризику розвитку діабету?
Har haft nogen diabetes-relaterede komplikationer?,Have had any diabetes-related complications ?,Чи були у вас ускладнення пов'язані з діабетом?
Har du haft problemer med at regulere dit blodsukker?,Have had trouble regulating your blood sugar ?,Чи були у вас проблеми з регулюванням рівня цукру в крові?
Er der nogen tegn på diabetes i dig?,Are there any signs diabetes in you ?,Чи є у вас ознаки діабету?
Har De erklæret Dem diabetiker?,Have declared diabetes ?,Чи виявляли у вас діабет?
har du bemærket ændringer i din krop med hensyn til dit blodsukker?,you noticed changes in your body regarding your blood sugar ?,Чи помічали ви зміни у вашому організмі пов'язані з рівнем цукру в крові?
havde du tidligere problemer med dit blodsukker?,you had any previous problems with your blood sugar ?,Чи були у вас раніше проблеми з рівнем цукру в крові?
Har du nogen sygdomme relateret til dit blodsukker?,Do have any diseases related to your blood sugar ?,Чи є у вас захворювання пов'язані з рівнем цукру в крові?
oplever du hyppig vandladning?,you experience frequent urination ?,Чи спостерігається у вас часте сечовипускання?
"Har du nyreproblemer, der forårsagede hyppig vandladning?",Have you kidney problems that caused frequent urination ?,"Чи були у вас проблеми з нирками, які викликали часте сечовипускання?"
Har du nogen uforklarlige vægttab?,Have you any unexplained weight loss ?,Чи траплялося у вас безпричинне схуднення?
Har du oplevet hyppig træthed udmattelse?,Have you experienced frequent fatigue exhaustion ?,Чи відчували ви часту втому або виснаження?
Har du oplevet hyppige infektioner?,Have experienced frequent infections ?,Чи часто ви підхоплювали інфекції?
Havde du svært ved at hele sår eller ridser?,you had difficulty healing wounds or scratches ?,Чи були у вас труднощі з загоєнням ран або подряпин?
Har du oplevet nogen form for prikkende din kropsdele?,Have you experienced any form of tingling your body parts ?,Чи відчували ви поколювання у будь-якій частині тіла?
Har du oplevet nogen prikken eller følelsesløshed i tæer eller fingre?,Have you experienced any tingling or numbness in toes or fingers ?,Чи відчували ви поколювання або оніміння в пальцях рук або ніг?
Har du oplevet hyppige muskelkramper?,you experienced frequent muscle cramps ?,Чи траплялися у вас часті м'язові судоми?
Har du haft ændringer i din appetit eller spisevaner?,Have you had changes in your appetite or eating habits ?,Чи були у вас зміни щодо апетиту або харчових звичок?
har du oplevet hyppige hovedpiner eller migræne?,you experienced frequent headaches or migraines ?,Чи виникали у вас часті головні болі або мігрені?
bemærkede du ændringer i din hud?,you noticed changes in your skin ?,Чи помічали ви зміни стану вашої шкіри?
Har du oplevet hyppige perioder kvalme eller opkastning?,Have you experienced frequent periods nausea or vomiting ?,Чи траплялися у вас часті випадки нудоти або блювоти?
Har du hyppige følelsesmæssige humørsvingninger?,Have you frequent emotional mood swings ?,Чи були у вас часті перепади настрою?
har du oplevet hyppigere urinvejsinfektioner?,you experienced more frequent urinary tract infections ?,Чи траплялися у вас інфекції сечовивідних шляхів?
Har du bemærket ændringer i synet for nylig?,Have you noticed changes in vision recently ?,Чи помічали ви останнім часом зміни в стані вашого зору?
Du havde øget tørst og væskeindtag?,you had increased thirst and fluid intake ?,Чи збільшилася у вас спрага та споживання рідини?
"Har du oplevet hyppige ture til badeværelset, især om natten?","Have you experienced frequent trips to the bathroom , especially at night ?","Чи стали ви частіше ходити до туалету, особливо вночі?"
Har du bemærket ændringer i din hukommelse eller koncentration?,Have noticed changes in your memory or concentration ?,Чи помічали ви зміни у вашій пам'яті або концентрації?
Har du haft hyppige problemer med svækket immunitet?,Have you had frequent problems with weakened immunity ?,Чи стали у вас частіше виникати проблеми з ослабленим імунітетом?
Har du bemærket ændringer i dit blodsukker?,Have you noticed changes your blood sugar levels ?,Чи помічали ви зміни в рівні цукру в крові?
Har du oplevet hyppigere svimmelhed eller besvimelse?,Have experienced more frequent periods of dizziness or fainting ?,Чи стали у вас частішими періоди запаморочення або непритомності?
Har du haft ændringer i puls eller blodtryk?,Have you had changes in pulse or blood pressure ?,Чи були у вас зміни в пульсі або кров'яному тиску?
Har du bemærket ændringer i åndedrættet eller åndenød?,Have you noticed changes your breathing or shortness of breath ?,Чи помічали ви у себе зміну в диханні або прояви задишки?
Har du oplevet hyppigere perioder med svaghed nedsat energi?,Have you experienced more frequent periods of weakness decreased energy ?,Чи траплялися у вас частіші періоди слабкості або знесилення?
Har du sukkersyge?,Do you diabetes ?,Чи є у вас діабет?
er der noget med dit blodsukker?,there anything with your blood sugar ?,Чи є у вас проблеми з рівнем цукру в крові?
har du oplevet udfordringer med sukkerbalance?,you experienced challenges with sugar balance ?,Чи виникали у вас проблеми з цукровим балансом?
er der tegn på sukkeruligevægt i din krop?,there signs of sugar imbalance in your body ?,Чи є ознаки дисбалансу цукру у вашому організмі?
Har du bemærket ændringer i din energi due sukker?,Have you noticed changes in your energy due sugar ?,Чи помітили ви зміни у вашій енергії пов'язані з цукром?
Har du oplever med blodsukker problemer?,Do you experience with blood sugar problems ?,Чи стикалися ви з проблемами рівня цукру в крові?
Har du brug for at være opmærksom på dit blodsukker?,Do you need to be mindful your blood sugar level ?,Чи потрібно вам стежити за рівнем цукру в крові?
Er der tegn på blodsukkerforstyrrelser i kroppen?,Are there signs blood sugar imbalance in your body ?,Чи є у вас ознаки дисбалансу цукру в крові?
ustabilt blodsukker?,your blood sugar unstable ?,Ваш рівень цукру в крові нестабільний?
Er Deres blodsukker udfordret?,your blood sugar challenged ?,У вас є проблеми з рівнем цукру в крові?
har du haft blodsukkerproblemer?,you experienced blood sugar problems ?,Чи були у вас проблеми з рівнем цукру в крові?
Har du brug for at holde styr på dit blodsukker?,Do need to keep track of your blood sugar ?,Чи потрібно вам стежити за рівнем цукру в крові?
Kender du blodsukkeret i kroppen?,Are you aware the blood sugar in your body ?,Чи знаєте ви про рівень цукру у вашому організмі?
påvirker blodsukkeret?,your blood sugar affected ?,Чи є у вас порушення рівня цукру в крові?
Har De erfaring med sukkersvingninger?,Do have experience with sugar fluctuations ?,Чи стикалися ви з коливаннями рівня цукру в крові?
Er dit blodsukker en udfordring for dig?,Is your blood sugar a challenge you ?,Чи є рівень цукру в крові для вас проблемою?
Er der noget blodsukker?,Is there anything your blood sugar ?,Чи є у вас якісь проблеми з рівнем цукру в крові?
Er blodsukkeret ude af balance?,Is blood sugar imbalanced ?,Ваш рівень цукру в крові незбалансований?
Er blodsukker et problem?,Is blood sugar a problem ?,Чи є ваш рівень цукру в крові проблемою?
skal du kontrollere dit blodsukker?,you need to control your blood sugar ?,Чи потрібно вам контролювати рівень цукру в крові?
Er De særlig opmærksom på Deres blodsukker?,Are particularly mindful of your blood sugar ?,Чи слідкуєте ви за рівнем цукру в крові?
Er der noget med blodsukker i kroppen?,Is anything with blood sugar in your body ?,Чи є щось не так з рівнем цукру у вашому організмі?
Har du haft blodsukkerproblemer?,Have had blood sugar problems ?,Чи були у вас проблеми з рівнем цукру в крові?
Har du oplevet symptomer med blodsukker?,Have you experienced symptoms with blood sugar ?,"Чи відчували ви симптоми, пов'язані з рівнем цукру в крові?"
Er der risiko for blodsukkerproblemer?,Are you risk for blood sugar problems ?,Чи є у вас ризик виникнення проблем з рівнем цукру в крові?
Har du brug for at kontrollere blodsukkeret regelmæssigt?,Do you need to regularly monitor blood sugar ?,Чи потрібно вам регулярно контролювати рівень цукру в крові?
Har du brug for at regulere blodsukker?,Do you need to regulate blood sugar ?,Чи потрібно вам регулювати рівень цукру в крові?
Er Deres blodsukkerkontrol?,Is your blood sugar control ?,Чи контролюєте ви рівень цукру в крові?
Er dit blodsukker et fokus på dig?,Is your blood sugar a focus you ?,Чи звертаєте ви увагу на рівень цукру в крові?
Har du brug for at holde øje med dit sukkerindtag?,Do need to keep an eye on your sugar intake ?,Чи потрібно вам стежити за споживанням цукру?
"Er dit blodsukker noget, du tror?",Is your blood sugar something you think ?,Чи замислюєтеся ви про рівень цукру в крові?
Er dit blodsukker noget overvågning?,Is your blood sugar something monitor ?,Чи контролюєте ви рівень цукру в крові?
"blodsukker noget, du skal overveje?",blood sugar something you need to consider ?,Чи потрібно вам враховувати рівень цукру в крові?
påvirker blodsukkeret din daglige rutine?,blood sugar influence your daily routine ?,Чи впливає рівень цукру в крові на ваш розпорядок дня?
Tager du medicin?,Are you taking form of medication ?,Чи приймаєте ви якісь ліки?
Er du på medicin?,Are on medication ?,Ви приймаєте ліки?
Bruger du medicin?,you using medication ?,Чи застосовуєте ви медикаменти?
Tager du medicin?,Are you taking form of medication ?,Чи приймаєте ви якісь ліки?
Får du receptpligtig medicin?,Are receiving prescription medication ?,Чи отримуєте ліки за рецептом?
Tager du medicin?,Are taking medications ?,Чи приймаєте ви медикаменти?
"har du medicin, du tager regelmæssigt?",you have medication you take regularly ?,"Чи є у вас ліки, які ви регулярно приймаєте?"
Får du medicin?,Are you receiving forms of medication ?,Чи отримуєте ви якісь лікарські препарати?
Er du under nogen form medicinsk behandling?,Are you undergoing any form medical treatment ?,Чи отримуєте ви будь-яке медичне лікування?
Bruger du medicin hver dag?,you use medication daily ?,Чи вживаєте ви ліки щодня?
Er du læge?,Are you medical treatment ?,Чи знаходитесь ви на медичному лікуванні?
Tager du nogen piller?,Are taking any kind of pills ?,Чи приймаєте ви якісь таблетки?
Får du recepter af lægen?,Are you receiving prescriptions the doctor ?,Чи отримуєте ви рецепти від лікаря?
Har du nogen recepter?,Do you any medical prescriptions ?,Чи є у вас якісь медичні рецепти?
Tager du nogen form medicin regelmæssigt?,Are you taking any form medication regularly ?,Чи приймаєте ви регулярно якісь ліки?
Har du medicinske præparater?,Do you have medical preparations ?,Чи маєте ви якісь медичні препарати?
Bruger medicin til at styre en tilstand?,Are using medication to manage a condition ?,Чи використовуєте ви ліки для покращення самопочуття?
Modtager du nogen former medicin fra apoteket?,Are you receiving any forms medication from the pharmacy ?,Чи одержуєте ви якісь ліки в аптеці?
Er du i øjeblikket på medicin?,Are you currently on medication ?,Чи вживаєте ви зараз якісь ліки?
Tager du nogen form medicin i øjeblikket?,Are you taking any form medication currently ?,Чи приймаєте ви зараз будь-які ліки?
Har du nogen receptpligtig medicin?,Do you any prescription medications ?,"Чи є у вас ліки, які відпускаються за рецептом?"
Bruger du nogen former for medicin?,Are using any forms of medication ?,Чи вживаєте ви будь-які форми ліків?
Du på nogen form for medicin?,you on any form of medication ?,Чи приймаєте ви зараз якісь ліки?
Får du medicinsk behandling?,you receiving medical treatment ?,Чи отримуєте ви медичне лікування?
Tager du medicin som en del af den daglige rutine?,Do you take medication as part of daily routine ?,Чи приймаєте ви ліки у своєму повсякденному житті?
Har du brug for medicin hver dag?,you need medication daily ?,Чи потрібні вам ліки щодня?
Tager du medicin som en del af en behandlingsplan?,you take medication as part of a treatment plan ?,Чи приймаєте ви ліки в рамках плану лікування?
Er på nogen form for medicin på daglig basis?,Are on any form of medication on a daily basis ?,Чи приймаєте ви якісь ліки щодня?
Modtager du medicin for at forbedre din helbredstilstand?,Are receiving medication to improve your health condition ?,Чи приймаєте ви ліки для покращення стану здоров'я?
Tager du medicin som en del af din daglige rutine?,Do take medication as part of your daily routine ?,Чи приймаєте ви ліки у своєму повсякденному житті?
Har du prøvet at få kontrastfarve til røntgenbilleder?,Have ever tried getting contrast dye for X-rays ?,Чи намагалися ви коли-небудь приймати контрастну речовину для рентгену?
Har du prøvet at blive injiceret med jodkontrast i åre?,Have you ever tried getting injected with iodine contrast into vein ?,Чи намагалися ви коли-небудь робити ін'єкцію йодного контрасту у вену?
Har du prøvet at få jodholdige kontraster før?,Have tried getting iodine-containing contrast before ?,"Чи намагалися ви раніше вводити контраст, що містить йод?"
Har du prøvet at få røntgen kontrast injiceret i vene før?,Have you tried getting X-ray contrast injected into vein before ?,Чи намагалися ви коли-небудь раніше вводити рентгеноконтрастну речовину у вену?
Har du nogensinde fået noget injiceret i en blodåre en radiologi afdeling?,Have you ever had something injected into a vein a radiology department ?,Чи вводили вам коли-небудь щось у вену в рентгенівському відділенні?
Har man før fået røntgenkontrast?,Have been given X-ray contrast before ?,Чи вводили вам раніше рентгенконтрастні речовини?
"Skete der noget sidste gang, du fik kontrast?",anything happen last time you got contrast ?,Чи сталося щось минулого разу коли вам вводили контраст?
"Skete der noget sidste gang, du fik indsprøjtning af kontrasten?",Did anything happen last time you got contrast injected ?,Чи сталося щось під час вашої останньої ін'єкції контрасту?
Er der givet nogen form for medicin på en radiologi afdeling før?,Have been given any form of medication at a radiology department before ?,Чи давали вам раніше будь-які ліки у рентгенівському відділенні?
Prøvede du at få X-ray kontrast farvestof?,you tried getting X-ray contrast dye ?,Чи пробували ви приймати рентгеноконтрастний барвник?
Har du prøvet at blive injiceret med jodkontrast i åre?,Have you ever tried getting injected with iodine contrast into vein ?,Чи пробували ви коли-небудь отримувати ін'єкцію йодного контрасту у вену?
Prøvede du at få jodholdige kontraster før?,you tried getting iodine-containing contrast before ?,Чи пробували ви раніше отримувати йодовмісний контраст?
Har du prøvet at få røntgen kontrast injiceret en vene før?,Have you tried getting X-ray contrast injected a vein before ?,Чи пробували ви раніше отримувати рентгеноконтрастний препарат у вену?
Har du nogensinde fået noget sprøjtet en åre på en radiologi afdeling?,Have you ever had something injected a vein at a radiology department ?,Чи вводили вам коли-небудь щось у вену в рентгенівському відділенні?
Har man før fået røntgenkontrast?,Have been given X-ray contrast before ?,Чи вводили вам раніше рентгенконтрастні препарати?
Skete der noget sidste gang?,Did anything happen last time got contrast ?,Чи сталося що-небудь минулого разу коли вам вводили контраст?
"Skete der noget sidste gang, der blev injiceret kontrast?",Did anything happen last time got contrast injected ?,Чи сталося щось під час останньої вашої ін'єкції контрасту?
Har du fået medicin på radiologiafdelingen før?,Have you been given form of medication at a radiology department before ?,Чи отримували ви раніше якісь медикаменти в рентгенівському відділенні?
Har du erfaring med at modtage X-ray kontrast?,Do have experience receiving X-ray contrast ?,Чи є у вас досвід отримання рентгенконтрастних препаратів?
Har du nogensinde fået injiceret jodkontrast i dine årer?,Have ever had iodine contrast injected in your veins ?,Чи вводили вам коли-небудь йодний контраст у вени?
Kender du til at modtage kontrast indeholdende jod?,you familiar with receiving contrast containing iodine ?,"Чи знайомі ви з прийомом контрасту, що містить йод?"
modtog du røntgenkontrast injiceret før?,you received X-ray contrast injected before ?,Чи робили вам раніше ін'єкції рентгенконтрастних препаратів?
Har du nogensinde injiceret noget i dine årer under en røntgenundersøgelse?,Have you ever anything injected into your veins during an X-ray procedure ?,Чи вводили вам коли-небудь щось у вени під час рентгенівської процедури?
Har du tidligere modtaget X-ray kontrast?,you previously received X-ray contrast ?,Чи отримували ви раніше рентгеноконтрастні препарати?
"Har du oplevet noget specifikt, du sidst har modtaget kontrast?",Did you experience anything specific you last received contrast ?,Чи відчували ви щось особливе під час останнього введення контрасту?
"Hvordan din erfaring, da du sidst modtog kontrast?",How your experience when you last received contrast ?,Які були ваші відчуття під час останнього введення контрасту?
har du fået nogen medicin under en røntgenprocedure før?,you been given any medication during an X-ray procedure before ?,Чи давали вам раніше якісь ліки під час рентгенівської процедури?
Har du prøvet at få injiceret kontrast før?,Have tried getting contrast injected before ?,Чи пробували ви раніше робити ін'єкції контрасту?
Har du nogensinde fået kontrast?,Have you ever received contrast ?,Чи отримували ви коли-небудь контраст раніше?
Er du vant til at blive injiceret i dine årer?,Are you used getting contrast injected into your veins ?,Чи звикли ви до введення контрасту у вени?
Har der været kontrast under en røntgenprocedure før?,Have received contrast during an X-ray procedure before ?,Чи вводили вам раніше контраст під час рентгену?
"Hvordan føles det, når du sidst fik kontrast injiceret?",How it feel when you last got contrast injected ?,Що ви відчували під час останньої ін'єкції контрасту?
"Var der nogen specifikke bivirkninger, du sidst har modtaget kontrast?",Were there any specific side effects you last received contrast ?,Чи були якісь специфічні побічні ефекти під час останнього введення контрасту?
har du erfaring med at modtage medicin på en radiologi afdeling?,you have experience receiving medication at a radiology department ?,Чи є у вас досвід прийому ліків у рентгенівському відділенні?
Du prøvede at få kontrast indsprøjtet i en blodåre før?,you tried getting contrast injected into a vein before ?,Чи пробували Ви раніше отримувати введення контрасту у вену?
Har modtaget kontrast injiceret før?,Have received contrast injected before ?,Чи робили вам раніше ін'єкції контрасту?
Var din erfaring med kontrasten sidste gang?,was your experience with the contrast last time ?,Яким був ваш досвід з контрастом минулого разу?
Du nogensinde oplevet at få kontrast under en røntgenundersøgelse?,you ever experienced getting contrast during an X-ray examination ?,Чи доводилося вам коли-небудь отримувати контраст під час рентгенівського обстеження?
Har du modtaget medicin under røntgenproceduren før?,Have you received medication during X-ray procedure before ?,Чи отримували ви раніше медикаменти під час рентгенівської процедури?
Hvordan det at få kontrast injiceret sidste gang?,How it to get contrast injected last time ?,Як проходило введення контрасту минулого разу?
har du tidligere fået kontrast i dine årer?,you previously received contrast in your veins ?,Чи вводили вам раніше контраст у вени?
Har du kontrast under et besøg i radiologi afdelingen før?,Have you contrast during a visit to the radiology department before ?,Чи вводили вам раніше контраст під час візиту до рентгенівського відділення?
har du oplevet nogen reaktioner på kontrast før?,you experienced any reactions to contrast before ?,Чи були у вас раніше якісь реакції на контраст?
Har du noget injiceret under en røntgenundersøgelse før?,Have you anything injected during an X-ray examination before ?,Чи вводили вам раніше що-небудь під час рентгенівського обстеження?
modtog du røntgenkontrast i en blodåre før?,you received X-ray contrast in a vein before ?,Чи вводили вам раніше рентгеноконтраст у вену?
Hvordan reagerer du sidst på kontrasten?,How you react last time to contrast ?,Як ви сприйняли контраст минулого разу?
Har du fået noget sprøjtet ind i dine årer før?,Have you had anything injected into your veins a radiology department before ?,Чи вводили вам раніше щось у вени в рентгенівському відділенні?
Har du prøvet kontrast før?,you tried contrast before ?,Чи пробували ви контраст раніше?
Har du fået kontrast i kroppen før?,Have you received contrast in body before ?,Чи вводили раніше контраст в організм?
Har tidligere modtaget kontrast under røntgenundersøgelser?,Have previously received contrast during X-ray examinations ?,Чи отримували ви раніше контраст під час рентгенівських обстежень?
Har du erfaring kontrast før?,Do you have experience contrast before ?,Чи є у вас досвід взаємодії з контрастом у минулому?
Har du nogensinde kontrast i din blodbanen før?,Have you ever contrast in your bloodstream before ?,Чи вводили вам раніше контраст у кровообіг?
Har modtaget kontrast injiceret før?,Have received contrast injected before ?,Чи робили вам раніше ін'єкції контрасту?
Har du prøvet at få kontrast i en blodåre før?,Have tried getting contrast into a vein before ?,Чи пробували ви раніше отримувати контраст у вену?
har du oplevet nogen bivirkninger fra kontrast før?,you experienced any side effects from contrast before ?,Чи були у вас раніше якісь побічні ефекти від контрасту?
Har du før fået kontrast i kroppen?,Have received contrast in your body before ?,Чи вводили вам раніше контраст в організм?
"har du oplevet noget specifikt, når du får kontrast injiceret?",you experienced anything specific when getting contrast injected ?,Чи відчували ви щось специфічне при введенні контрасту?
Har du prøvet kontrast under røntgenproceduren før?,Have you tried contrast during X-ray procedure before ?,Чи пробували ви раніше контраст під час рентгенівської процедури?
Har du fået kontrast injiceret i årer før?,Have you received contrast injected into veins before ?,Чи вводили вам раніше контраст у вени?
Har du erfaring med kontrast røntgenundersøgelser?,Do you have experience with contrast X-ray examinations ?,Чи є у вас досвід застосування контрасту під час рентгенівських обстежень?
har du oplevet reaktioner på kontraster før?,you experienced reactions to contrast before ?,Чи були у вас раніше реакції на контраст?
Har du tidligere haft kontrast i blodbanen?,Have you previously had contrast in bloodstream ?,Чи був у вас раніше контраст у крові?
Du havde kontrast under røntgenundersøgelser før?,you had contrast during X-ray examinations before ?,Чи застосовували вам раніше контраст під час рентгенівських обстежень?
Har du nogensinde fået kontrast i din krop?,you ever received contrast in your body ?,Чи вводили вам коли-небудь контраст в організм?
Har du prøvet kontrast i dine årer før?,Have tried contrast in your veins before ?,Чи пробували ви раніше застосовувати контраст у вену?
Har du haft kontrast injiceret under røntgenundersøgelser?,Have you had contrast injected during X-ray examinations ?,Чи вводили вам раніше контраст під час рентгенівських обстежень?
Har du tidligere modtaget kontrast under besøg på radiologiafdelingen?,Have you previously received contrast during visits the radiology department ?,Чи отримували ви раніше контраст під час візитів до рентгенівського відділення?
Har du astma?,you have any asthma ?,Ви хворієте на астму?
Har du problemer med at rense bakterier fra lungerne?,Do you have trouble clearing bacteria from lungs ?,Чи є у вас проблеми з очищенням легенів від бактерій?
Tager du lungemedicin?,Are you taking lung medication ?,Чи приймаєте ви якісь ліки для легенів?
Har du haft astma før?,Have had asthma before ?,Чи хворіли ви раніше на астму?
Har du astma?,Do have asthma ?,Ви хворієте на астму?
"Er der chance for, at du har astma?",Is there chance you have asthma ?,"Чи існує ймовірність того, що у вас астма?"
"Er der risiko for, at du får astma?",Is there a risk you asthma ?,Чи є ризик того що у вас астма?
Har du oplevet astma før?,you experienced asthma before ?,Чи були у вас раніше випадки астми?
Har du astmaproblemer?,Do have asthma problems ?,Чи є у вас проблеми з астмою?
har du nogen lungeproblemer som hoste eller andre du tager medicin for?,you have any lung problems like coughing or others you take medication for ?,"Чи є у вас проблеми з легенями, такі як кашель або інші, від яких ви приймаєте ліки?"
Tager du lungemedicin?,Are taking lung medication ?,Чи приймаєте ви ліки для легенів?
Har du nogen form for astma?,Do have any forms of asthma ?,Чи маєте ви якусь форму астми?
Har du problemer med at rense bakterier dine lunger?,Do you experience difficulty clearing bacteria your lungs ?,Чи відчуваєте ви труднощі з очищенням легенів від бактерій?
Tager du medicin mod dine lunger?,you taking medication for your lungs ?,Чи приймаєте ви ліки для легенів?
Har du astma før?,Have you asthma before ?,Чи хворіли ви раніше на астму?
Er astma en del af dine sundhedsudfordringer?,Is asthma part your health challenges ?,Чи є астма частиною ваших проблем зі здоров'ям?
"Er der en mulighed for, at du har astma?",Is there a possibility you asthma ?,Чи існує ймовірність того що у вас астма?
"Er der risiko for, at du får astma?",Is there a risk you asthma ?,"Чи є у вас ризик того, що ви хворієте на астму?"
Har du astma?,Do you have experience asthma ?,Чи був у вас випадок захворювання на астму?
Har du problemer med astma?,Do you experience problems asthma ?,Чи є у вас проблеми з астмою?
Har du nogen lungeproblemer kræver medicin?,Do you have any lung problems require medication ?,"Чи є у вас проблеми з легенями, які потребують лікування?"
Er du på medicin dine lunger?,Are you on medication your lungs ?,Чи приймаєте ви ліки для легень?
Har du nogensinde symptomer på astma?,Have you ever symptoms of asthma ?,Чи були у вас коли-небудь симптоми астми?
Er astma et problem for dig?,Is asthma a concern you ?,Чи турбує вас астма?
Har du astmaanfald før?,Have you asthma attacks before ?,Чи були у вас напади астми раніше?
Er der nogen tegn på astma?,Are there any indications that suffer from asthma ?,"Чи є якісь ознаки того, що ви страждаєте на астму?"
"Er der tegn på, at du har astma?",there signs that you have asthma ?,"Чи є якісь прояви того, що у вас астма?"
Har du oplevet astma-relaterede symptomer før?,Have experienced asthma-related symptoms before ?,"Чи відчували ви раніше симптоми, пов'язані з астмою?"
Har du oplevet astmaanfald før?,Have experienced asthma attacks before ?,Чи траплялися у вас раніше напади астми?
Er astma en del af sygehistorien?,Is asthma part of medical history ?,Чи є астма частиною вашої історії хвороби?
Har man tidligere modtaget astmabehandling?,Have received treatment for asthma before ?,Чи лікувалися ви раніше від астми?
Er du tilbøjelige til astma?,you prone to asthma ?,Чи схильні ви до астми?
- Har du åndedrætsproblemer?,you have any respiratory problems ?,Чи є у вас якісь проблеми з органами дихання?
Har du brug for medicin til dine lunger?,Do need medication for your lungs ?,Чи потрібні вам ліки для легень?
Er astma en del af de daglige udfordringer?,Is asthma part of daily challenges ?,Чи є астма частиною ваших щоденних проблем?
Har du oplevet astmarelaterede komplikationer?,Have experienced asthma-related complications ?,Чи виникали у вас ускладнення пов'язані з астмою?
Har du nogensinde haft vejrtrækningsproblemer?,Have ever had breathing problems ?,Чи були у вас коли-небудь проблеми з диханням?
Er der nogen tegn på astma i dig?,Are there any signs asthma in you ?,Чи є у вас якісь ознаки астми?
Har du åndedrætsbesvær?,Have you breathing difficulties ?,Чи були у вас труднощі з диханням?
"Er astma noget, du bekymrer dig om?",Is asthma something you worry ?,Чи турбує вас астма?
Har du nogensinde vejrtrækningsproblemer?,Have you ever breathing problems ?,Чи були у вас коли-небудь проблеми з диханням?
Har du nogen bekymringer med hensyn til astma?,you have any concerns regarding asthma ?,Чи є у вас якісь занепокоєння щодо астми?
astma en del af din sygehistorie?,asthma part of your medical history ?,Чи є астма частиною вашої медичної історії?
Har du tidligere diagnosticeret med astma?,Have you previously diagnosed with asthma ?,"Чи ставили вам раніше діагноз ""астма""?"
Har du haft astmasymptomer for nylig?,you experienced asthma symptoms recently ?,Чи відчували ви симптоми астми нещодавно?
Har du brug for medicin til at kontrollere lungerne?,Do you need medication to control lungs ?,"Чи потрібні вам ліки, щоб контролювати стан ваших легенів?"
